Regional_Districts,Name,Population,Density km^2,Hospitals,Wildlife,Bears
1,Alberni-Clayoquot,31061,4.7,2,50,0
2,Bulkley-Nechako,39208,0.53,4,1350,460
3,Capital,359991,153.8,4,50,0
4,Cariboo,62392,0.77,3,2000,718
5,Central Coast,3206,0.13,2,900,560
6,Central Kootenay,58441,2.6,3,600,237
7,Central Okanagan,179839,61.9,1,300,86
8,Columbia-Shuswap,50512,1.7,3,210,709
9,Comox Valley,63538,37.4,1,50,2
10,Cowichan Valley,80332,23.1,1,50,2
11,East Kootenay,56685,2.1,4,11,266
12,Fraser Valley,277593,20.8,4,86,30
13,Fraser-Fort George,91879,1.8,3,2470,768
14,Greater/Metro Vancouver,2313328,802.5,15,50,0
15,Kitimat-Stikine,37361,0.36,4,1650,1201
16,Kootenay Boundary,31138,3.9,2,300,176
17,Mount Waddington,11506,0.57,3,750,501
18,Nanaimo,146574,71.9,1,50,0
19,North Okanagan,81237,10.8,1,400,234
20,Northern Rockies,5578,0.07,1,2032,1625
21,Okanagan-Similkameen,80742,7.8,3,300,150
22,Peace River,60082,0.51,2,1396,338
,Powell River,19906,3.9,1,50,0
24,Skeena-Queen Charlotte,18784,0.95,3,1500,1035
25,Squamish-Lillooet,38170,2.3,2,86,115
26,Stikine Region,629,0.01,0,7000,3664
27,Strathcona,43252,2.4,1,350,116
28,Sunshine Coast,28619,7.6,1,100,10
29,Thompson-Nicola,128473,2.9,3,533,405